Detector,TP,FP,FN,TN,Accuracy,Precision,Recall,F1
damaged by fold,6,61,0,1,10%,9%,100%,16%
dirty,6,32,0,30,53%,16%,100%,27%
discoloration,5,47,0,16,31%,10%,100%,18%
finger not enough,5,14,0,49,79%,26%,100%,42%
incomplete beading,4,48,1,15,28%,8%,80%,14%
oversize,6,29,0,33,57%,17%,100%,29%
plastic contamination,7,50,0,11,26%,12%,100%,22%
spotting,6,1,0,61,99%,86%,100%,92%
stain,5,35,0,28,49%,12%,100%,22%
tearing,5,24,0,39,65%,17%,100%,29%
tearing fingertip,5,36,1,26,46%,12%,83%,21%
touching,6,35,0,27,49%,15%,100%,26%
Overall,66,412,2,336,49%,14%,97%,24%
