detector,material,defect_folder,image_path,status,detection_score,detected,false_positive,error
damaged_by_fold,cotton,dirty,datasets\cotton\dirty\cotton_dirty_1.jpeg,success,0.8478446659283869,True,True,
damaged_by_fold,cotton,dirty,datasets\cotton\dirty\cotton_dirty_2.jpeg,success,0.8433876584586262,True,True,
damaged_by_fold,cotton,dirty,datasets\cotton\dirty\cotton_dirty_3.jpeg,success,0.8451214702215788,True,True,
damaged_by_fold,cotton,finger_not_enough,datasets\cotton\finger_not_enough\cotton_finger_not_enough_1.jpg,success,0.7625118530524155,True,True,
damaged_by_fold,cotton,finger_not_enough,datasets\cotton\finger_not_enough\cotton_finger_not_enough_2.jpg,success,0.803763936505453,True,True,
damaged_by_fold,cotton,incomplete_beading,datasets\cotton\incomplete_beading\cotton_incomplete_beading_1.png,success,0.6190183624121607,True,True,
damaged_by_fold,cotton,oversize,datasets\cotton\oversize\cotton_oversize_1.jpeg,success,0.8448232558139535,True,True,
damaged_by_fold,cotton,oversize,datasets\cotton\oversize\cotton_oversize_2.jpeg,success,0.6843584501017804,True,True,
damaged_by_fold,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_1.jpeg,success,0.7501755369127124,True,True,
damaged_by_fold,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_2.jpeg,success,0.7487158048313336,True,True,
damaged_by_fold,cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_3.jpeg,success,0.8466799369966418,True,True,
damaged_by_fold,cotton,tearing,datasets\cotton\tearing\cotton_tearing_1.jpg,success,0.8297797590511986,True,True,
damaged_by_fold,cotton,tearing_fingertip,datasets\cotton\tearing_fingertip\cotton_tearing_fingertip_1.jpg,success,0.7263112384204531,True,True,
damaged_by_fold,cotton,tearing_fingertip,datasets\cotton\tearing_fingertip\cotton_tearing_fingertip_2.jpg,success,0.9055896825396825,True,True,
damaged_by_fold,cotton,touching,datasets\cotton\touching\cotton_touching_1.png,success,0.839502278437148,True,True,
damaged_by_fold,cotton,touching,datasets\cotton\touching\cotton_touching_2.png,success,0.7487397770204481,True,True,
damaged_by_fold,latex,dirty,datasets\latex\dirty\latex_dirty_1.jpeg,success,0.8844057483165744,True,True,
damaged_by_fold,latex,dirty,datasets\latex\dirty\latex_dirty_2.jpeg,success,0.8440055502632966,True,True,
damaged_by_fold,latex,dirty,datasets\latex\dirty\latex_dirty_3.jpeg,success,0.8334543425721606,True,True,
damaged_by_fold,latex,discoloration,datasets\latex\discoloration\latex_discoloration_1.jpeg,success,0.7888440643653919,True,True,
damaged_by_fold,latex,discoloration,datasets\latex\discoloration\latex_discoloration_2.jpeg,success,0.8343181921757536,True,True,
damaged_by_fold,latex,finger_not_enough,datasets\latex\finger_not_enough\latex_finger_not_enough_1.jpg,success,0.6815044960504972,True,True,
damaged_by_fold,latex,incomplete_beading,datasets\latex\incomplete_beading\latex_incomplete_beading_1.png,success,0.6749128607114634,True,True,
damaged_by_fold,latex,incomplete_beading,datasets\latex\incomplete_beading\latex_incomplete_beading_2.png,success,0.706280490307729,True,True,
damaged_by_fold,latex,oversize,datasets\latex\oversize\latex_oversize_1.jpeg,success,0.8454550762670165,True,True,
damaged_by_fold,latex,oversize,datasets\latex\oversize\latex_oversize_2.jpeg,success,0.7618565702013085,True,True,
damaged_by_fold,latex,plastic_contamination,datasets\latex\plastic_contamination\latex_plastic_1.jpeg,success,0.7453660231664261,True,True,
