material,true_defect,image_path,status,predicted,top1_correct,correct_score,correct_fired,correct_rank,winner_score,margin,score_damaged_by_fold,score_dirty,score_discoloration,score_finger_not_enough,score_incomplete_beading,score_oversize,score_plastic_contamination,score_spotting,score_stain,score_tearing,score_tearing_fingertip,score_touching
cotton,damaged_by_fold,datasets\cotton\damaged_by_fold\cotton_damaged_by_fold_1.png,success,plastic_contamination,False,0.830203930000893,True,4,0.9143253664364814,0.064,0.830203930000893,0.7437,0.8440778906200719,0.0,0.8500000000000001,0.34554443148821273,0.9143253664364814,0.2615,0.4033,0.5687905782525098,0.08280523869877482,0.46440645088918203
cotton,damaged_by_fold,datasets\cotton\damaged_by_fold\cotton_damaged_by_fold_2.png,success,plastic_contamination,False,0.7046085935788883,True,3,0.8999248867614965,0.05,0.7046085935788883,0.5607,0.0,0.0,0.8500000000000001,0.36767424719337255,0.8999248867614965,0.1375,0.3281,0.0,0.07331157419030881,0.4582
cotton,dirty,datasets\cotton\dirty\cotton_dirty_1.jpeg,success,tearing,False,0.7027,True,7,1.0,0.0,0.8478446659283869,0.7027,0.920320272572402,0.0,0.6924775224775225,0.5336692405762395,0.8860150643404346,0.3969,0.8399,1.0,1.0,0.5081240127794646
cotton,dirty,datasets\cotton\dirty\cotton_dirty_2.jpeg,success,tearing,False,0.8523,True,5,1.0,0.0,0.8433876584586262,0.8523,0.9302080657135154,0.0,0.0,0.41422202949688924,0.9602282426472293,0.2549,0.4899,1.0,1.0,0.5134040728831726
cotton,dirty,datasets\cotton\dirty\cotton_dirty_3.jpeg,success,tearing_fingertip,False,0.8965,True,3,1.0,0.096,0.8451214702215788,0.8965,0.903796896411244,0.0,0.0,0.6700627513692772,0.895125473752481,0.4235,0.498,0.0,1.0,0.43
cotton,finger_not_enough,datasets\cotton\finger_not_enough\cotton_finger_not_enough_1.jpg,success,tearing_fingertip,False,0.75,True,4,1.0,0.056,0.7625118530524155,0.364,0.0,0.75,0.68,0.2885041327234834,0.9436205540898662,0.2456,0.1788,0.0,1.0,0.43
cotton,finger_not_enough,datasets\cotton\finger_not_enough\cotton_finger_not_enough_2.jpg,success,tearing,False,0.75,True,4,0.914062183450502,0.09,0.803763936505453,0.4127,0.6269916757482599,0.75,0.68,0.2452736088509428,0.824354960027748,0.2275,0.4007,0.914062183450502,0.019964507542147295,0.43
cotton,incomplete_beading,datasets\cotton\incomplete_beading\cotton_incomplete_beading_1.png,success,plastic_contamination,False,0.7038089069610574,True,3,0.9459789543983776,0.182,0.6190183624121607,0.3671,0.0,0.0,0.7038089069610574,0.25763169352212195,0.9459789543983776,0.0735,0.1401,0.0,0.7637687756030951,0.5017860354958628
cotton,oversize,datasets\cotton\oversize\cotton_oversize_1.jpeg,success,discoloration,False,0.5679045403551416,True,5,1.0,0.0,0.8448232558139535,0.2323,1.0,0.0,0.0,0.5679045403551416,0.8885642985663665,0.3153,0.1691,1.0,0.2357606344628695,0.0
cotton,oversize,datasets\cotton\oversize\cotton_oversize_2.jpeg,success,plastic_contamination,False,0.5419523087645546,True,6,0.9243501789388842,0.023,0.6843584501017804,0.3478,0.0,0.0,0.68,0.5419523087645546,0.9243501789388842,0.25,0.9015,0.5548840889555209,0.0,0.5154870617784356
