material,defect_name,image_path,status,detected,detection_score,algorithm,bounding_box,glove_area,defect_area_pct,processing_time_ms,error
cotton,damaged_by_fold,datasets\cotton\damaged_by_fold\cotton_damaged_by_fold_1.png,success,True,0.830203930000893,"Adaptive masked-palm edge analysis for a long fold ridge, confirmed by line continuity, parallel fold-band support, local contrast and geometry","(212, 770, 220, 50)",237795,3.627,544.6350574493408,
cotton,damaged_by_fold,datasets\cotton\damaged_by_fold\cotton_damaged_by_fold_2.png,success,True,0.7046085935788883,"Adaptive masked-palm edge analysis for a long fold ridge, confirmed by line continuity, parallel fold-band support, local contrast and geometry","(339, 664, 56, 220)",195769,4.618,378.7834644317627,
cotton,dirty,datasets\cotton\dirty\cotton_dirty_1.jpeg,success,True,0.7027,Illumination-normalised LAB anomaly + connected-component analysis + soiling-halo (surround darkening) measurement,"(229, 381, 476, 619)",417819,7.299,207.31639862060547,
cotton,dirty,datasets\cotton\dirty\cotton_dirty_2.jpeg,success,True,0.8523,Illumination-normalised LAB anomaly + connected-component analysis + soiling-halo (surround darkening) measurement,"(65, 276, 469, 724)",385162,13.982,177.56938934326172,
cotton,dirty,datasets\cotton\dirty\cotton_dirty_3.jpeg,success,True,0.8965,Illumination-normalised LAB anomaly + connected-component analysis + soiling-halo (surround darkening) measurement,"(101, 125, 649, 875)",461164,19.662,244.7962760925293,
cotton,finger_not_enough,datasets\cotton\finger_not_enough\cotton_finger_not_enough_1.jpg,success,True,0.75,"Fingertip localisation via contour distance-from-centroid peaks against a hard prior of 4 main fingers + 1 thumb; the thumb is identified separately (by length ratio, or a column-top-height bulge search) so it never masks a genuinely missing main finger; when fewer than 4 main fingers are found, the missing one is localised to an abnormally wide interior gap when one clearly stands out, else to whichever edge is both wide enough and free of real material (no bulge) - catching an edge-missing finger that widens no interior gap at all; when all 4 main fingers are found, falls back to convexity-defect valley/slot analysis to catch a finger that's present but short of its neighbours' length","(343, 198, 99, 67)",308934,,107.23614692687988,
cotton,finger_not_enough,datasets\cotton\finger_not_enough\cotton_finger_not_enough_2.jpg,success,True,0.75,"Fingertip localisation via contour distance-from-centroid peaks against a hard prior of 4 main fingers + 1 thumb; the thumb is identified separately (by length ratio, or a column-top-height bulge search) so it never masks a genuinely missing main finger; when fewer than 4 main fingers are found, the missing one is localised to an abnormally wide interior gap when one clearly stands out, else to whichever edge is both wide enough and free of real material (no bulge) - catching an edge-missing finger that widens no interior gap at all; when all 4 main fingers are found, falls back to convexity-defect valley/slot analysis to catch a finger that's present but short of its neighbours' length","(155, 209, 154, 182)",282451,,72.72958755493164,
cotton,incomplete_beading,datasets\cotton\incomplete_beading\cotton_incomplete_beading_1.png,success,True,0.7038089069610574,Robust lower glove-mask cuff profile: detect deep/wide missing bead notches and abnormal edge roughness relative to a fitted cuff baseline,"(154, 730, 252, 170)",173357,2.152,65.89031219482422,
cotton,oversize,datasets\cotton\oversize\cotton_oversize_1.jpeg,success,True,0.5679045403551416,Explainable global fit geometry + loose-fold evidence,"(187, 654, 337, 346)",248734,2.62,95.99709510803223,
cotton,oversize,datasets\cotton\oversize\cotton_oversize_2.jpeg,success,True,0.5419523087645546,Explainable global fit geometry + loose-fold evidence,"(82, 444, 499, 254)",237457,3.8,106.58526420593262,
cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_1.jpeg,success,True,0.9178291589690365,Material-adaptive texture/reflection evidence + local object completion,"(233, 595, 73, 96)",326247,1.3,288.34033012390137,
cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_2.jpeg,success,True,0.9842732163112642,Material-adaptive texture/reflection evidence + local object completion,"(140, 676, 86, 63)",391707,0.95,313.35949897766113,
cotton,plastic_contamination,datasets\cotton\plastic_contamination\cotton_plastic_3.jpeg,success,True,0.9167654438100814,Material-adaptive texture/reflection evidence + local object completion,"(482, 554, 65, 47)",324691,0.49,406.4311981201172,
cotton,tearing,datasets\cotton\tearing\cotton_tearing_1.jpg,success,True,1.0,"Largest connected LAB material-colour-deviation blob inside the eroded glove interior, cross-checked against Canny edges from gray_enhanced","(134, 522, 302, 478)",175889,11.491,94.8641300201416,
cotton,tearing_fingertip,datasets\cotton\tearing_fingertip\cotton_tearing_fingertip_1.jpg,success,True,1.0,"Fingertip localisation via contour distance-from-centroid peaks (convex protrusion + finger-length analysis); the torn finger itself is picked by ranking each finger's largest LAB material-colour-deviation blob (within its own tight ROI) by area ratio, unless every candidate's blob is still small relative to its ROI (a translucent material can show similar weak deviation on every fingertip), in which case ranking switches to a composite of boundary deviation strength, Canny edge density, and local gradient sharpness instead - a real tear has a sharp torn edge, translucency fades in gradually. For the winning finger only, the box/mask is then rebuilt from the full connected anomaly within a moderately dilated version of its ROI (closed to bridge small gaps), so it covers the tear's own full extent rather than a ROI-clipped fragment, then clipped to the glove silhouette and padded to a minimum size relative to the finger's own width","(164, 504, 73, 73)",203952,0.643,179.0175437927246,
cotton,tearing_fingertip,datasets\cotton\tearing_fingertip\cotton_tearing_fingertip_2.jpg,success,True,1.0,"Fingertip localisation via contour distance-from-centroid peaks (convex protrusion + finger-length analysis); the torn finger itself is picked by ranking each finger's largest LAB material-colour-deviation blob (within its own tight ROI) by area ratio, unless every candidate's blob is still small relative to its ROI (a translucent material can show similar weak deviation on every fingertip), in which case ranking switches to a composite of boundary deviation strength, Canny edge density, and local gradient sharpness instead - a real tear has a sharp torn edge, translucency fades in gradually. For the winning finger only, the box/mask is then rebuilt from the full connected anomaly within a moderately dilated version of its ROI (closed to bridge small gaps), so it covers the tear's own full extent rather than a ROI-clipped fragment, then clipped to the glove silhouette and padded to a minimum size relative to the finger's own width","(211, 428, 85, 59)",205449,0.422,174.02982711791992,
cotton,touching,datasets\cotton\touching\cotton_touching_1.png,success,True,0.8956038595428101,Hybrid masked-glove geometry: missing interdigital valley plus an adaptive-edge internal seam with two-sided material and merged-finger width,"(288, 321, 67, 370)",204847,6.579,220.7775115966797,
cotton,touching,datasets\cotton\touching\cotton_touching_2.png,success,True,0.9327709185623487,Hybrid masked-glove geometry: missing interdigital valley plus an adaptive-edge internal seam with two-sided material and merged-finger width,"(149, 328, 40, 299)",227873,4.494,166.86081886291504,
latex,damaged_by_fold,datasets\latex\damaged_by_fold\latex_damaged_by_fold_1.png,success,True,0.775185372753877,"Adaptive masked-palm edge analysis for a long fold ridge, confirmed by line continuity, parallel fold-band support, local contrast and geometry","(285, 774, 106, 179)",203785,3.352,120.22662162780762,
latex,damaged_by_fold,datasets\latex\damaged_by_fold\latex_damaged_by_fold_2.png,success,True,0.7867551492151112,"Adaptive masked-palm edge analysis for a long fold ridge, confirmed by line continuity, parallel fold-band support, local contrast and geometry","(238, 641, 187, 167)",237336,3.647,215.47985076904297,
latex,dirty,datasets\latex\dirty\latex_dirty_1.jpeg,success,True,0.5888,Illumination-normalised LAB anomaly + connected-component analysis + soiling-halo (surround darkening) measurement,"(107, 98, 643, 902)",480120,17.835,178.6329746246338,
latex,dirty,datasets\latex\dirty\latex_dirty_2.jpeg,success,True,0.6019,Illumination-normalised LAB anomaly + connected-component analysis + soiling-halo (surround darkening) measurement,"(0, 190, 666, 810)",435547,12.302,179.1679859161377,
latex,dirty,datasets\latex\dirty\latex_dirty_3.jpeg,success,True,0.68,Illumination-normalised LAB anomaly + connected-component analysis + soiling-halo (surround darkening) measurement,"(0, 172, 507, 828)",409284,16.81,181.26440048217773,
latex,discoloration,datasets\latex\discoloration\latex_discoloration_1.jpeg,success,True,0.9593944361056508,Material-adaptive chromatic deviation + connected-component scoring,"(289, 630, 99, 120)",318458,2.51,118.11351776123047,
latex,discoloration,datasets\latex\discoloration\latex_discoloration_2.jpeg,success,True,0.8647305009152371,Material-adaptive chromatic deviation + connected-component scoring,"(216, 821, 85, 72)",294095,1.38,93.53280067443848,
latex,finger_not_enough,datasets\latex\finger_not_enough\latex_finger_not_enough_1.jpg,success,True,0.75,"Fingertip localisation via contour distance-from-centroid peaks against a hard prior of 4 main fingers + 1 thumb; the thumb is identified separately (by length ratio, or a column-top-height bulge search) so it never masks a genuinely missing main finger; when fewer than 4 main fingers are found, the missing one is localised to an abnormally wide interior gap when one clearly stands out, else to whichever edge is both wide enough and free of real material (no bulge) - catching an edge-missing finger that widens no interior gap at all; when all 4 main fingers are found, falls back to convexity-defect valley/slot analysis to catch a finger that's present but short of its neighbours' length","(356, 297, 114, 213)",236164,,69.45514678955078,
latex,incomplete_beading,datasets\latex\incomplete_beading\latex_incomplete_beading_1.png,success,True,0.7,Robust lower glove-mask cuff profile: detect deep/wide missing bead notches and abnormal edge roughness relative to a fitted cuff baseline,"(139, 781, 289, 219)",210818,2.767,57.70611763000488,
latex,incomplete_beading,datasets\latex\incomplete_beading\latex_incomplete_beading_2.png,success,False,0.46120232495513525,Robust lower glove-mask cuff profile: detect deep/wide missing bead notches and abnormal edge roughness relative to a fitted cuff baseline,"(109, 799, 313, 201)",216905,1.159,58.838605880737305,
